Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified,Location,ADDRESS,loc,point,lat,lon,altitude,Borough,borough
LW5,PM2.5,01/03/2020 00:00,3.0,ug/m3,R,Deptford,"Deptford,London, United Kingdom","Deptford, London Borough of Lewisham, London, Lewisham, Greater London, England, SE10 8ND, United Kingdom","(51.4758453, -0.0215164, 0.0)",51.475845299999996,-0.0215164,0.0,Lewisham,Lewisham
LW5,PM2.5,02/03/2020 00:00,4.0,ug/m3,R,Deptford,"Deptford,London, United Kingdom","Deptford, London Borough of Lewisham, London, Lewisham, Greater London, England, SE10 8ND, United Kingdom","(51.4758453, -0.0215164, 0.0)",51.475845299999996,-0.0215164,0.0,Lewisham,Lewisham
LW5,PM2.5,03/03/2020 00:00,6.0,ug/m3,R,Deptford,"Deptford,London, United Kingdom","Deptford, London Borough of Lewisham, London, Lewisham, Greater London, England, SE10 8ND, United Kingdom","(51.4758453, -0.0215164, 0.0)",51.475845299999996,-0.0215164,0.0,Lewisham,Lewisham
LW5,PM2.5,04/03/2020 00:00,7.0,ug/m3,R,Deptford,"Deptford,London, United Kingdom","Deptford, London Borough of Lewisham, London, Lewisham, Greater London, England, SE10 8ND, United Kingdom","(51.4758453, -0.0215164, 0.0)",51.475845299999996,-0.0215164,0.0,Lewisham,Lewisham
LW5,PM2.5,05/03/2020 00:00,8.0,ug/m3,R,Deptford,"Deptford,London, United Kingdom","Deptford, London Borough of Lewisham, London, Lewisham, Greater London, England, SE10 8ND, United Kingdom","(51.4758453, -0.0215164, 0.0)",51.475845299999996,-0.0215164,0.0,Lewisham,Lewisham
LW5,PM2.5,06/03/2020 00:00,9.0,ug/m3,R,Deptford,"Deptford,London, United Kingdom","Deptford, London Borough of Lewisham, London, Lewisham, Greater London, England, SE10 8ND, United Kingdom","(51.4758453, -0.0215164, 0.0)",51.475845299999996,-0.0215164,0.0,Lewisham,Lewisham
LW5,PM2.5,07/03/2020 00:00,10.0,ug/m3,R,Deptford,"Deptford,London, United Kingdom","Deptford, London Borough of Lewisham, London, Lewisham, Greater London, England, SE10 8ND, United Kingdom","(51.4758453, -0.0215164, 0.0)",51.475845299999996,-0.0215164,0.0,Lewisham,Lewisham
LW5,PM2.5,08/03/2020 00:00,5.0,ug/m3,R,Deptford,"Deptford,London, United Kingdom","Deptford, London Borough of Lewisham, London, Lewisham, Greater London, England, SE10 8ND, United Kingdom","(51.4758453, -0.0215164, 0.0)",51.475845299999996,-0.0215164,0.0,Lewisham,Lewisham
LW5,PM2.5,09/03/2020 00:00,3.0,ug/m3,R,Deptford,"Deptford,London, United Kingdom","Deptford, London Borough of Lewisham, London, Lewisham, Greater London, England, SE10 8ND, United Kingdom","(51.4758453, -0.0215164, 0.0)",51.475845299999996,-0.0215164,0.0,Lewisham,Lewisham
LW5,PM2.5,10/03/2020 00:00,2.0,ug/m3,R,Deptford,"Deptford,London, United Kingdom","Deptford, London Borough of Lewisham, London, Lewisham, Greater London, England, SE10 8ND, United Kingdom","(51.4758453, -0.0215164, 0.0)",51.475845299999996,-0.0215164,0.0,Lewisham,Lewisham
LW5,PM2.5,11/03/2020 00:00,3.0,ug/m3,R,Deptford,"Deptford,London, United Kingdom","Deptford, London Borough of Lewisham, London, Lewisham, Greater London, England, SE10 8ND, United Kingdom","(51.4758453, -0.0215164, 0.0)",51.475845299999996,-0.0215164,0.0,Lewisham,Lewisham
LW5,PM2.5,12/03/2020 00:00,4.0,ug/m3,R,Deptford,"Deptford,London, United Kingdom","Deptford, London Borough of Lewisham, London, Lewisham, Greater London, England, SE10 8ND, United Kingdom","(51.4758453, -0.0215164, 0.0)",51.475845299999996,-0.0215164,0.0,Lewisham,Lewisham
LW5,PM2.5,13/03/2020 00:00,5.0,ug/m3,R,Deptford,"Deptford,London, United Kingdom","Deptford, London Borough of Lewisham, London, Lewisham, Greater London, England, SE10 8ND, United Kingdom","(51.4758453, -0.0215164, 0.0)",51.475845299999996,-0.0215164,0.0,Lewisham,Lewisham
LW5,PM2.5,14/03/2020 00:00,4.0,ug/m3,R,Deptford,"Deptford,London, United Kingdom","Deptford, London Borough of Lewisham, London, Lewisham, Greater London, England, SE10 8ND, United Kingdom","(51.4758453, -0.0215164, 0.0)",51.475845299999996,-0.0215164,0.0,Lewisham,Lewisham
