site_id,reading_date,PM_25,location,address
LW5,01/03/2020 00:00,3.0,Deptford,"Deptford,London, United Kingdom"
LW5,02/03/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,03/03/2020 00:00,6.0,Deptford,"Deptford,London, United Kingdom"
LW5,04/03/2020 00:00,7.0,Deptford,"Deptford,London, United Kingdom"
LW5,05/03/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,06/03/2020 00:00,9.0,Deptford,"Deptford,London, United Kingdom"
LW5,07/03/2020 00:00,10.0,Deptford,"Deptford,London, United Kingdom"
LW5,08/03/2020 00:00,5.0,Deptford,"Deptford,London, United Kingdom"
LW5,09/03/2020 00:00,3.0,Deptford,"Deptford,London, United Kingdom"
LW5,10/03/2020 00:00,2.0,Deptford,"Deptford,London, United Kingdom"
LW5,11/03/2020 00:00,3.0,Deptford,"Deptford,London, United Kingdom"
LW5,12/03/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,13/03/2020 00:00,5.0,Deptford,"Deptford,London, United Kingdom"
LW5,14/03/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,15/03/2020 00:00,3.0,Deptford,"Deptford,London, United Kingdom"
LW5,16/03/2020 00:00,7.0,Deptford,"Deptford,London, United Kingdom"
LW5,17/03/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,18/03/2020 00:00,6.0,Deptford,"Deptford,London, United Kingdom"
LW5,19/03/2020 00:00,9.0,Deptford,"Deptford,London, United Kingdom"
LW5,20/03/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,21/03/2020 00:00,5.0,Deptford,"Deptford,London, United Kingdom"
LW5,22/03/2020 00:00,9.0,Deptford,"Deptford,London, United Kingdom"
LW5,23/03/2020 00:00,11.0,Deptford,"Deptford,London, United Kingdom"
LW5,24/03/2020 00:00,12.0,Deptford,"Deptford,London, United Kingdom"
LW5,25/03/2020 00:00,21.0,Deptford,"Deptford,London, United Kingdom"
LW5,26/03/2020 00:00,26.0,Deptford,"Deptford,London, United Kingdom"
LW5,27/03/2020 00:00,26.0,Deptford,"Deptford,London, United Kingdom"
LW5,28/03/2020 00:00,12.0,Deptford,"Deptford,London, United Kingdom"
LW5,29/03/2020 00:00,3.0,Deptford,"Deptford,London, United Kingdom"
LW5,30/03/2020 00:00,3.0,Deptford,"Deptford,London, United Kingdom"
LW5,31/03/2020 00:00,6.0,Deptford,"Deptford,London, United Kingdom"
LW5,01/04/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,02/04/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,03/04/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,04/04/2020 00:00,10.0,Deptford,"Deptford,London, United Kingdom"
LW5,05/04/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,06/04/2020 00:00,6.0,Deptford,"Deptford,London, United Kingdom"
LW5,07/04/2020 00:00,16.0,Deptford,"Deptford,London, United Kingdom"
LW5,08/04/2020 00:00,37.0,Deptford,"Deptford,London, United Kingdom"
LW5,09/04/2020 00:00,43.0,Deptford,"Deptford,London, United Kingdom"
LW5,10/04/2020 00:00,30.0,Deptford,"Deptford,London, United Kingdom"
LW5,11/04/2020 00:00,22.0,Deptford,"Deptford,London, United Kingdom"
LW5,12/04/2020 00:00,15.0,Deptford,"Deptford,London, United Kingdom"
LW5,13/04/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,14/04/2020 00:00,5.0,Deptford,"Deptford,London, United Kingdom"
LW5,15/04/2020 00:00,15.0,Deptford,"Deptford,London, United Kingdom"
LW5,16/04/2020 00:00,36.0,Deptford,"Deptford,London, United Kingdom"
LW5,17/04/2020 00:00,7.0,Deptford,"Deptford,London, United Kingdom"
LW5,18/04/2020 00:00,10.0,Deptford,"Deptford,London, United Kingdom"
LW5,19/04/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,20/04/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,21/04/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,22/04/2020 00:00,13.0,Deptford,"Deptford,London, United Kingdom"
LW5,23/04/2020 00:00,16.0,Deptford,"Deptford,London, United Kingdom"
LW5,24/04/2020 00:00,18.0,Deptford,"Deptford,London, United Kingdom"
LW5,25/04/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,26/04/2020 00:00,11.0,Deptford,"Deptford,London, United Kingdom"
LW5,27/04/2020 00:00,13.0,Deptford,"Deptford,London, United Kingdom"
LW5,28/04/2020 00:00,3.0,Deptford,"Deptford,London, United Kingdom"
LW5,29/04/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,30/04/2020 00:00,2.0,Deptford,"Deptford,London, United Kingdom"
LW5,01/05/2020 00:00,2.0,Deptford,"Deptford,London, United Kingdom"
